customer_id,name,is_corporate,region,registration_date
C00001,小林 直子,False,中部,2022-10-03
C00002,遠藤 亮介,False,関西,2020-09-18
C00003,三浦食品合同会社,True,北海道,2024-06-14
C00004,森通信合同会社,True,関東,2024-06-09
C00005,村上 真綾,False,関西,2023-09-13
C00006,株式会社伊藤印刷,True,北海道,2022-04-06
C00007,中川 結衣,False,関東,2020-07-06
C00008,株式会社中村情報,True,関東,2020-03-28
C00009,山下 充,False,関西,2023-03-30
C00010,岡田 香織,False,北海道,2021-02-26
C00011,中川 加奈,False,中部,2024-05-15
C00012,田中 英樹,False,九州,2024-04-03
C00013,渡辺 涼平,False,関西,2022-04-03
C00014,太田 明美,False,中部,2022-11-26
C00015,前田 英樹,False,関西,2021-11-12
C00016,加藤 聡太郎,False,九州,2022-09-28
C00017,橋本 和也,False,北海道,2021-12-11
C00018,斎藤通信有限会社,True,東北,2024-10-15
C00019,林 直子,False,関東,2023-11-17
C00020,渡辺 零,False,関西,2025-03-25
C00021,渡辺 涼平,False,東北,2023-01-17
C00022,後藤 春香,False,九州,2020-10-28
C00023,近藤通信有限会社,True,関西,2021-09-21
C00024,藤田ガス合同会社,True,関西,2025-02-15
C00025,斉藤 加奈,False,北海道,2024-08-14
C00026,株式会社佐々木水産,True,北海道,2022-03-07
C00027,鈴木保険有限会社,True,関東,2023-05-02
C00028,松本 陽子,False,中部,2022-03-12
C00029,佐藤 康弘,False,九州,2022-06-12
C00030,山口 千代,False,中部,2025-02-02
C00031,山本運輸株式会社,True,関西,2024-02-18
C00032,伊藤 花子,False,中部,2020-10-29
C00033,有限会社小林銀行,True,九州,2021-08-02
C00034,橋本 陽子,False,中部,2023-06-10
C00035,株式会社斎藤保険,True,東北,2020-06-08
C00036,小川 幹,False,中部,2022-12-08
C00037,加藤 聡太郎,False,九州,2022-02-25
C00038,株式会社佐藤通信,True,中部,2021-07-03
C00039,株式会社鈴木水産,True,東北,2022-03-28
C00040,佐藤 あすか,False,中部,2022-11-12
C00041,合同会社伊藤鉱業,True,中部,2022-08-31
C00042,西村 裕美子,False,北海道,2023-05-25
C00043,佐藤 直人,False,北海道,2024-07-21
C00044,伊藤水産合同会社,True,中部,2021-02-08
C00045,小林水産有限会社,True,九州,2020-11-25
C00046,吉田農林株式会社,True,中部,2023-02-01
C00047,合同会社林鉱業,True,関東,2021-10-20
C00048,高橋 洋介,False,関西,2023-10-20
C00049,山口 聡太郎,False,関西,2023-03-18
C00050,合同会社太田鉱業,True,東北,2024-06-17
C00051,中村 京助,False,東北,2020-08-16
C00052,佐藤水産株式会社,True,中部,2024-11-13
C00053,渡辺 知実,False,東北,2022-08-06
C00054,加藤 くみ子,False,東北,2023-12-21
C00055,鈴木 知実,False,東北,2022-09-16
C00056,合同会社田中農林,True,中部,2022-04-27
C00057,木村通信有限会社,True,北海道,2022-09-03
C00058,有限会社田中農林,True,東北,2023-10-20
C00059,株式会社小林情報,True,北海道,2020-07-16
C00060,近藤農林有限会社,True,北海道,2022-01-26
C00061,株式会社佐藤印刷,True,関東,2021-06-12
C00062,有限会社後藤保険,True,関西,2022-06-06
C00063,合同会社山田通信,True,九州,2023-09-08
C00064,合同会社吉田情報,True,関西,2021-10-09
C00065,有限会社橋本食品,True,中部,2021-07-30
C00066,吉田通信合同会社,True,九州,2023-09-12
C00067,渡辺情報株式会社,True,中部,2023-02-26
C00068,佐藤 くみ子,False,東北,2022-06-03
C00069,池田ガス株式会社,True,九州,2024-12-14
C00070,高橋通信株式会社,True,関西,2023-09-11
C00071,林 稔,False,関東,2022-11-10
C00072,株式会社佐々木鉱業,True,東北,2024-08-14
C00073,山本 結衣,False,中部,2021-03-16
C00074,山口運輸有限会社,True,関東,2021-07-18
C00075,合同会社佐々木建設,True,関東,2022-01-13
C00076,松本 舞,False,北海道,2021-01-07
C00077,有限会社木村水産,True,九州,2022-04-29
C00078,鈴木印刷合同会社,True,東北,2022-08-25
C00079,藤田 香織,False,北海道,2024-11-24
C00080,佐々木 舞,False,関東,2023-01-31
C00081,後藤 浩,False,関東,2021-05-26
